0.32002,-0.00054053,-0.0005083,5.0008,-1.6514e-06,-0.0005083,0,0.0095744,0,0.025583,0.14877
0.32502,-0.00055854,-0.00052442,5.0008,-1.7305e-06,-0.00052442,0,0.0097232,0,0.025982,0.14873
0.33002,-0.00057688,-0.00054079,5.0009,-1.8121e-06,-0.00054079,0,0.0098719,0,0.026381,0.1487
0.33502,-0.00059553,-0.0005574,5.0009,-1.8963e-06,-0.0005574,0,0.010021,0,0.02678,0.14866
0.34002,-0.00061451,-0.00057427,5.0009,-1.983e-06,-0.00057427,0,0.010169,0,0.027179,0.14861
0.34502,-0.00063382,-0.00059139,5.0009,-2.0723e-06,-0.00059139,0,0.010318,0,0.027578,0.14857
0.35002,-0.00065345,-0.00060876,5.001,-2.1643e-06,-0.00060876,0,0.010466,0,0.027977,0.14853
0.35502,-0.00067341,-0.00062638,5.001,-2.2589e-06,-0.00062638,0,0.010615,0,0.028376,0.14849
0.36002,-0.00069369,-0.00064424,5.001,-2.3562e-06,-0.00064424,0,0.010763,0,0.028775,0.14845
0.36502,-0.00071431,-0.00066236,5.0011,-2.4563e-06,-0.00066236,0,0.010912,0,0.029174,0.1484
0.37002,-0.00073525,-0.00068073,5.0011,-2.5592e-06,-0.00068073,0,0.01106,0,0.029573,0.14836
0.37503,-0.00075653,-0.00069935,5.0011,-2.6649e-06,-0.00069935,0,0.011209,0,0.029972,0.14832
0.38003,-0.00077814,-0.00071822,5.0011,-2.7734e-06,-0.00071822,0,0.011357,0,0.030371,0.14827
0.38503,-0.00080009,-0.00073734,5.0012,-2.8849e-06,-0.00073734,0,0.011505,0,0.03077,0.14822
0.39003,-0.00082237,-0.0007567,5.0012,-2.9993e-06,-0.0007567,0,0.011654,0,0.031168,0.14818
0.39503,-0.00084499,-0.00077632,5.0012,-3.1166e-06,-0.00077632,0,0.011802,0,0.031567,0.14813
0.40003,-0.00086794,-0.00079619,5.0013,-3.237e-06,-0.00079619,0,0.01195,0,0.031966,0.14808
0.40503,-0.00089124,-0.00081631,5.0013,-3.3605e-06,-0.00081631,0,0.012098,0,0.032365,0.14804
0.41003,-0.00091487,-0.00083667,5.0013,-3.487e-06,-0.00083667,0,0.012246,0,0.032763,0.14799
0.41504,-0.00093885,-0.00085729,5.0014,-3.6166e-06,-0.00085729,0,0.012394,0,0.033162,0.14794
